num_doc|f_analisis|default|tipo_cliente|trx39|trx102|trx106|trx143|trx158|disp309|CO01END010RO|CO01ACP017CC|CO02EXP011TO|CO02EXP004TO|CO01EXP001CC|CO01EXP003RO|CO02END015CC|CO01END002RO|CO01END086RO|CO01END094RO|CO02NUM086AH|CO02NUM043RO|CO01EXP002AH|CO01NUM002AH|CO01END051RO|CO01ACP011RO|CO02MOR092TO|CO01MOR098RO
728320734.0|201810|0|adicion|1.2133516000000002|0.0|0.0|0.0|0.2424035|8.0|2.18|10.0|85.71|8.0|39.0|11.0|-4.0|0.7|28.24|3.2|28.57|33.33|10.0|2.0|0.99|1.0|100.0|-3.0
12422913203.0|201801|1|adicion|0.0|0.0|1.3555333e-06|0.0|0.0|8.0|-1.0|-1.0|60.0|4.0|-1.0|-1.0|-1.0|-1.0|-1.0|-1.0|60.0|-1.0|4.0|3.0|-1.0|-1.0|0.0|-1.0
34194260496.0|201803|0|adicion|0.9537936|0.0|0.0|0.40477294|0.20332999999999998|11.0|18.15|53.0|25.0|15.0|241.0|122.0|-2.0|2.33|14.56|20.48|75.0|90.91|15.0|3.0|1.5|0.0|100.0|100.0
36014734464.0|201807|0|adicion|2.236068|1.02401045e-05|2.5600261e-06|0.4245562|1.2272976999999998|8.0|0.38|-2.0|100.0|0.0|7.0|1.0|0.0|0.0|-3.0|0.38|28.57|0.0|8.0|2.0|-4.0|-2.0|-3.0|-2.0
50518369859.0|201811|0|adicion|2.3614377999999996|1.2800131000000001e-06|2.3040237e-05|0.0|0.39206263|0.0|4.0|8.0|83.33|3.0|38.0|8.0|-4.0|15.84|74.66|32.0|33.33|81.82|16.0|2.0|0.0|3.0|100.0|89.22658
50647596262.0|201811|0|objetivo|0.0|0.0|0.0|0.0|0.0|12.0|0.57|9.0|75.0|7.0|79.0|20.0|-4.0|1.18|76.97|1.92|-1.0|25.0|-1.0|-1.0|1.16|0.0|100.0|95.946045
54851491994.0|201805|0|adicion|2.477678|0.0|0.0|0.32043993|0.10354662|11.0|-3.0|-2.0|62.5|0.0|68.0|37.0|-4.0|2.38|120.18|1.92|25.0|50.0|11.0|2.0|2.26|0.0|100.0|91.56389
60908652106.0|201810|0|adicion|0.37267798|0.0|0.0|0.16899352|0.04906717|6.0|2.69|-2.0|100.0|4.0|10.0|35.0|0.0|0.17|15.41|6.66|33.33|0.0|4.0|2.0|0.0|-2.0|100.0|100.0
68828819891.0|201809|0|adicion|0.94280905|2.3040237e-05|1.02401045e-05|0.51283056|0.17813516|11.0|2.32|-1.0|50.0|5.0|-1.0|67.0|-1.0|4.98|82.18|7.55|33.33|50.0|5.0|2.0|15.78|2.0|100.0|100.0
99685985420.0|201810|0|objetivo|0.0|1.2800131000000001e-06|1.2800131000000001e-06|0.0|0.0|7.0|0.65|12.0|75.0|12.0|37.0|25.0|-4.0|3.83|53.64|4.48|50.0|50.0|12.0|2.0|5.7|1.0|100.0|100.0
110129282083.0|201812|0|adicion|0.0|0.0|0.0|0.0035377691999999997|0.0|0.0|0.02|-2.0|100.0|1.0|10.0|18.0|-4.0|0.75|5.56|1.15|57.14|0.0|7.0|4.0|0.2|-2.0|100.0|93.18092
